segment,index,x,y,yaw
0,0,0.2000,0.5000,3.1416
0,1,-0.1500,0.5000,3.1416
0,2,-0.5000,0.5000,2.9997
0,3,-0.8500,0.5500,-2.7367
0,4,-1.2000,0.4000,-2.9997
0,5,-1.5500,0.3500,3.1416
0,6,-1.9000,0.3500,3.1416
0,7,-2.2500,0.3500,3.1416
0,8,-2.6000,0.3500,3.1416
0,9,-2.9500,0.3500,-2.9997
0,10,-3.3000,0.3000,3.1416
0,11,-3.6500,0.3000,3.1416
0,12,-4.0000,0.3000,3.1416
0,13,-4.3500,0.3000,3.1416
0,14,-4.7000,0.3000,-2.9997
0,15,-5.0500,0.2500,3.1416
0,16,-5.4000,0.2500,3.1416
0,17,-5.7500,0.2500,3.1416
0,18,-6.1000,0.2500,3.1416
0,19,-6.4500,0.2500,3.1416
0,20,-6.8000,0.2500,3.1416
0,21,-7.1500,0.2500,-2.9997
0,22,-7.5000,0.2000,3.1416
0,23,-7.8500,0.2000,3.1416
0,24,-8.2000,0.2000,3.1416
0,25,-8.5500,0.2000,-2.9997
0,26,-8.9000,0.1500,3.1416
0,27,-9.2500,0.1500,3.1416
0,28,-9.6000,0.1500,3.1416
0,29,-9.9500,0.1500,3.1416
0,30,-10.3000,0.1500,3.1416
0,31,-10.6500,0.1500,3.1416
0,32,-11.0000,0.1500,3.1416
0,33,-11.3500,0.1500,-2.9997
0,34,-11.7000,0.1000,3.1416
0,35,-12.0500,0.1000,2.6224
0,36,-12.4000,0.3000,1.8491
0,37,-12.5000,0.6500,1.5708
0,38,-12.5000,1.0000,1.5708
0,39,-12.5000,1.3500,1.5708
0,40,-12.5000,1.7000,1.5708
0,41,-12.5000,2.0500,1.5708
0,42,-12.5000,2.4000,1.4289
0,43,-12.4500,2.7500,1.4289
0,44,-12.4000,3.1000,1.5708
0,45,-12.4000,3.4500,1.7127
0,46,-12.4500,3.8000,1.5708
0,47,-12.4500,4.1500,1.5708
0,48,-12.4500,4.5000,1.5708
0,49,-12.4500,4.8500,1.7127
0,50,-12.5000,5.2000,1.5708
0,51,-12.5000,5.5500,1.5708
0,52,-12.5000,5.9000,1.7127
0,53,-12.5500,6.2500,1.5708
0,54,-12.5500,6.6000,1.5708
0,55,-12.5500,6.9500,1.9757
0,56,-12.7000,7.3000,1.5708
0,57,-12.7000,7.6500,1.5708
0,58,-12.7000,8.0000,1.7127
0,59,-12.7500,8.3500,1.5708
0,60,-12.7500,8.7000,1.5708
0,61,-12.7500,9.0500,1.5708
0,62,-12.7500,9.4000,1.2925
0,63,-12.6500,9.7500,0.2783
0,64,-12.3000,9.8500,0.0000
0,65,-11.9500,9.8500,0.0000
0,66,-11.6000,9.8500,0.1419
0,67,-11.2500,9.9000,0.0000
0,68,-10.9000,9.9000,0.1419
0,69,-10.5500,9.9500,0.0000
0,70,-10.2000,9.9500,0.0000
0,71,-9.8500,9.9500,0.0000
0,72,-9.5000,9.9500,0.1419
0,73,-9.1500,10.0000,0.0000
0,74,-8.8000,10.0000,0.0000
0,75,-8.4500,10.0000,0.1419
0,76,-8.1000,10.0500,0.1419
0,77,-7.7500,10.1000,0.0000
0,78,-7.4000,10.1000,0.0000
0,79,-7.0500,10.1000,0.0000
0,80,-6.7000,10.1000,0.0000
0,81,-6.3500,10.1000,0.0000
0,82,-6.0000,10.1000,0.1419
0,83,-5.6500,10.1500,0.0000
0,84,-5.3000,10.1500,0.0000
0,85,-4.9500,10.1500,0.1419
0,86,-4.6000,10.2000,0.0000
0,87,-4.2500,10.2000,0.0000
0,88,-3.9000,10.2000,0.0000
0,89,-3.5500,10.2000,0.1419
0,90,-3.2000,10.2500,0.0000
0,91,-2.8500,10.2500,0.0000
0,92,-2.5000,10.2500,0.1419
0,93,-2.1500,10.3000,0.0000
0,94,-1.8000,10.3000,0.0000
0,95,-1.4500,10.3000,0.0000
0,96,-1.1000,10.3000,0.1419
0,97,-0.7500,10.3500,0.1419
0,98,-0.4000,10.4000,0.0000
0,99,-0.0500,10.4000,0.0000
0,100,0.3000,10.4000,0.0000
0,101,0.6500,10.4000,0.0000
0,102,1.0000,10.4000,0.1419
0,103,1.3500,10.4500,0.1419
0,104,1.7000,10.5000,0.0000
0,105,2.0500,10.5000,0.1419
0,106,2.4000,10.5500,0.0000
0,107,2.7500,10.5500,0.0000
0,108,3.1000,10.5500,0.0000
0,109,3.4500,10.5500,0.0000
0,110,3.8000,10.5500,-0.1419
0,111,4.1500,10.5000,0.0000
0,112,4.5000,10.5000,0.0000
0,113,4.8500,10.5000,0.0000
0,114,5.2000,10.5000,0.0000
0,115,5.5500,10.5000,0.1419
0,116,5.9000,10.5500,0.0000
0,117,6.2500,10.5500,0.0000
0,118,6.6000,10.5500,0.0000
0,119,6.9500,10.5500,0.0000
0,120,7.3000,10.5500,0.1419
0,121,7.6500,10.6000,-1.2925
0,122,7.7500,10.2500,-1.5708
0,123,7.7500,9.9000,-1.5708
