segment,index,x,y,yaw
0,0,0.2651,0.2634,-3.1120
0,1,0.1152,0.2590,-3.1120
0,2,-0.0348,0.2545,-3.1120
0,3,-0.1847,0.2501,-2.5977
0,4,-0.3015,0.1795,-2.9862
0,5,-0.4493,0.1563,-3.0585
0,6,-0.5988,0.1438,-3.1368
0,7,-0.7483,0.1431,2.6933
0,8,-0.8672,0.2003,3.0772
0,9,-1.0169,0.2100,3.0772
0,10,-1.1666,0.2196,3.1057
0,11,-1.3164,0.2250,3.1416
0,12,-1.4664,0.2250,3.1416
0,13,-1.6164,0.2250,3.1416
0,14,-1.7664,0.2250,3.1416
0,15,-1.9164,0.2250,3.1139
0,16,-2.0663,0.2291,3.0792
0,17,-2.2160,0.2385,3.0792
0,18,-2.3657,0.2479,2.3170
0,19,-2.4553,0.3447,1.6879
0,20,-2.4728,0.4937,1.5856
0,21,-2.4750,0.6435,1.5708
0,22,-2.4750,0.7935,1.9002
0,23,-2.5190,0.9222,2.4733
0,24,-2.6367,1.0152,2.7081
0,25,-2.7660,1.0750,3.1416
0,26,-2.9160,1.0750,3.1416
0,27,-3.0660,1.0750,-3.0184
0,28,-3.2098,1.0572,-2.4669
0,29,-3.3269,0.9635,-2.4248
0,30,-3.4380,0.8666,-1.6332
0,31,-3.4474,0.7169,-1.6332
0,32,-3.4567,0.5672,-1.7327
0,33,-3.4807,0.4203,-1.8925
0,34,-3.5282,0.2780,-2.6008
0,35,-3.6493,0.2053,-3.0793
0,36,-3.7983,0.1960,-3.1119
0,37,-3.9482,0.1915,-3.1119
0,38,-4.0982,0.1871,-3.1119
0,39,-4.2481,0.1826,-3.1119
0,40,-4.3981,0.1782,-3.1119
0,41,-4.5480,0.1737,-3.1119
0,42,-4.6979,0.1692,-3.1119
0,43,-4.8479,0.1648,-3.1213
0,44,-4.9979,0.1617,-3.1312
0,45,-5.1479,0.1602,-3.1312
0,46,-5.2979,0.1586,-3.1312
0,47,-5.4479,0.1571,-3.1312
